"$I File Name","$R File Name","Size (Bytes)","Timestamp (UTC)","Original File Name With Path","Original File Name","MD5 Hash"
"$I01XCGF.txt","$R01XCGF.txt","49","12-14-1642 08:40:03 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","72ccbd51593cb6d2c1b2a5b1b5d025af"
"$I08ZI07.txt","$R08ZI07.txt","50","12-14-1642 08:40:04 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","ec706d437eed73bbd601f839da406614"
"$I0AP14L.txt","$R0AP14L.txt","100","12-14-1642 08:40:11 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","0c5610f24ad2fa0b8fd86e1f6905352c"
"$I17RAD1.txt","$R17RAD1.txt","53","12-14-1642 08:40:01 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","bc7567fdf14b2a67c390ec02af38f659"
"$I198LLE.txt","$R198LLE.txt","101","12-14-1642 08:40:00 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","b3864457646b2f3b70379c71ac08a9a8"
"$I1D6OCR.txt","$R1D6OCR.txt","108","12-14-1642 08:39:41 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","5d6ea5b4b5ab17965ff3c5df15ef260e"
"$I1MMUNX.txt","$R1MMUNX.txt","103","12-14-1642 08:39:43 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","e676dea95705535d0d515dd2abf29252"
"$I1WD5RF.txt","$R1WD5RF.txt","100","12-14-1642 08:39:57 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","9376fe5538aef701842f6e125964a9f1"
"$I2CVFM2.txt","$R2CVFM2.txt","56","12-14-1642 08:40:02 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","7de512d181f9f3e0597c210898885021"
"$I2FNXOW.txt","$R2FNXOW.txt","48","12-14-1642 08:40:10 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","f098d60853e181b75720037023fcf906"
"$I2J48PI.txt","$R2J48PI.txt","98","12-14-1642 08:39:50 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","8da7f328f3939e8d84187d9fa3b190a1"
"$I2ZP91D.txt","$R2ZP91D.txt","50","12-14-1642 08:39:49 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","95d28931b9e67cf2e39604c0d40d6c63"
"$I3B7EP8.txt","$R3B7EP8.txt","56","12-14-1642 08:40:08 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","c56bf62d7e2d7761b1be6be30f16295a"
"$I3O4FNO.txt","$R3O4FNO.txt","54","12-14-1642 08:39:53 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","bd4a8aa7d113c4c91ae31052bac3eb6d"
"$I3Y2C18.txt","$R3Y2C18.txt","108","12-14-1642 08:39:41 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","5d6ea5b4b5ab17965ff3c5df15ef260e"
"$I467CFX.txt","$R467CFX.txt","100","12-14-1642 08:40:11 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","0c5610f24ad2fa0b8fd86e1f6905352c"
"$I4S3J0O.txt","$R4S3J0O.txt","55","12-14-1642 08:39:54 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","7cfaa86d910729f253a289e2f4562896"
"$I4VAGUQ.txt","$R4VAGUQ.txt","125","12-14-1642 08:40:17 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","5caa439e471a3f43c792d833c3748b8f"
"$I4VJ9VP.txt","$R4VJ9VP.txt","50","12-14-1642 08:39:47 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","d89adc3b18caab36f8952cba64555f6f"
"$I59AMQZ.txt","$R59AMQZ.txt","50","12-14-1642 08:39:47 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","d89adc3b18caab36f8952cba64555f6f"
"$I5F20WX.txt","$R5F20WX.txt","48","12-14-1642 08:39:51 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","ce41832bfa2d4c255b8c3de1de9a9290"
"$I5HCDNO.txt","$R5HCDNO.txt","48","12-14-1642 08:40:10 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","f098d60853e181b75720037023fcf906"
"$I5RPN3M.txt","$R5RPN3M.txt","51","12-14-1642 08:40:14 UTC","C : \ U s e r s \ f l a g \ D e s k t o p \ f l a g . t x t   "," f l a g . t x t   ","f1d301fb7f7bbfa6f234c89563b3e961"
